Fuel_consumption,Throttle_position_signal,Intake_air_pressure,Engine_speed,Flywheel_torque_(after_torque_interventions),Calculated_LOAD_value,Torque_converter_speed,Torque_converter_turbine_speed_-_Unfiltered,Steering_wheel_angle,Transmission_oil_temperature
409.6,7.1,71,687,12.4,59.6,0,0,-131.5,88
371.2,7.1,69,682,13.5,58,0,0,-131.2,88
371.2,7.1,68,678,13.6,56.9,0,0,-131.2,88
384,7.1,68,678,12.6,56.5,0,0,-131.2,88
358.4,7.1,68,673,13.9,56.5,0,0,-131.4,88
448,11.8,76,755,54,63.9,30,31.5,10,88
1024,16.9,78,1353,20.8,68.2,601.8,608,-63.1,88
448,7.1,55,924,12.2,45.9,837.5,836.5,-141.1,88
422.4,8,64,805,14.6,53.3,583.3,581,-172.6,88
460.8,8,69,789,15.3,58,409,408.8,-152.1,88
448,8.5,70,795,39,59.2,490,492.5,-242.5,88
678.4,9.4,69,1138,21,58,847.8,852.5,-294.3,88
742.4,11.3,65,1376,34.1,52.9,1242.8,1247.5,-220.2,88
1216,16,70,1891,65.5,56.5,1756.5,1762.8,-100.3,88
1984,35.2,91,2090,78.8,80.8,1849.8,1847.8,-30.4,88
2649.6,97.2,99,2333,83,91.4,2112.3,2118.3,3.2,88
2803.2,39.5,82,2817,16.9,73.3,2663.3,2665.8,-14.9,88
716.8,7.5,40,2018,-9.6,25.9,2100,2093,-14.9,88
716.8,10.4,48,1630,-0.8,36.1,1674.3,1673.5,-9.9,88
665.6,9.4,42,1713,-2.2,31.8,1716.5,1716.8,-3.8,88
601.6,8.5,40,1657,-20.8,29.8,1657.8,1657.3,-3.4,88
204.8,5.7,32,1367,-20.3,22.7,1525.3,1524,-2.2,88
332.8,6.6,31,1306,-10.2,22.4,1336,1334.8,6.2,88
345.6,7.1,43,940,-1.8,33.7,1178.5,1177.8,6,88
345.6,7.1,48,908,11.4,38.4,1335.8,1338.5,0,88
486.4,8,50,1178,-0.8,39.2,1313,1312.3,-3.7,88
435.2,7.1,46,1099,2,35.7,1146.5,1145,-0.3,88
422.4,7.5,51,977,13.8,40.8,945.3,943.8,-0.8,88
460.8,8,60,889,19.1,50.6,745.8,744.3,0.3,88
460.8,8,66,835,17.7,54.9,522.8,523.5,1.1,88
460.8,7.5,67,801,18.5,56.1,462.3,458.3,0.5,88
435.2,7.1,68,753,14.5,56.9,77,77.5,0.5,88
384,7.1,67,689,14.6,56.5,0,0,0.5,88
371.2,7.1,67,680,14.8,56.1,0,0,0.5,88
358.4,7.1,67,679,11.5,56.1,0,0,0.5,88
371.2,7.1,67,678,12.7,55.7,0,0,0.5,88
358.4,7.1,66,676,13.1,55.7,0,0,0.5,88
358.4,7.1,66,673,13.8,54.9,0,0,0.5,88
358.4,7.1,66,671,12.5,55.3,0,0,0.6,88
358.4,7.1,66,672,12.7,55.3,0,0,0.5,88
358.4,7.1,66,671,13.6,54.9,0,0,0.6,88
358.4,7.1,66,671,12.2,55.3,0,0,0.8,88
371.2,7.1,66,671,11.6,54.9,0,0,0.5,88
358.4,7.1,66,671,13.4,54.9,0,0,0.7,88
358.4,7.1,66,672,12.3,54.5,0,0,0.5,88
371.2,7.1,65,670,12.6,54.9,0,0,0.5,88
358.4,7.1,66,670,12.8,55.3,0,0,0.5,88
371.2,7.1,66,668,11.7,55.3,0,0,0.5,88
371.2,7.1,66,669,12.6,54.9,0,0,0.7,88
371.2,7.1,66,669,12.7,54.9,0,0,0.6,88
371.2,7.1,66,670,11.7,54.9,0,0,0.5,88
371.2,7.1,65,670,11.7,54.9,0,0,0.5,88
371.2,7.1,66,669,12.3,54.9,0,0,0.6,88
371.2,7.1,66,666,13.7,54.9,0,0,0.7,88
384,7.1,66,667,13.4,55.3,0,0,0.5,88
371.2,7.1,66,667,12.2,55.3,0,0,0.5,88
371.2,7.1,66,668,13.5,54.9,0,0,0.5,88
371.2,7.1,66,666,13.9,54.9,0,0,0.6,88
384,7.1,66,668,13,55.3,0,0,0.5,88
371.2,7.1,66,670,12.5,54.9,0,0,0.5,88
371.2,7.1,66,669,12.1,54.9,0,0,0.5,88
384,7.1,66,670,13.1,54.9,0,0,0.5,88
371.2,7.1,65,670,12.9,54.5,0,0,0.6,88
371.2,7.1,66,672,13.6,54.5,0,0,0.8,88
384,7.1,66,669,12.2,54.9,0,0,0.6,88
371.2,7.1,65,670,13,54.5,0,0,0.5,88
371.2,7.1,66,668,12.8,54.9,0,0,0.5,88
384,7.1,65,669,11.9,54.9,0,0,0.6,88
371.2,7.1,66,668,12.1,54.9,0,0,0.7,88
371.2,7.1,66,668,13.4,54.9,0,0,0.5,88
384,7.1,66,667,12.7,54.9,0,0,0.5,88
371.2,7.1,66,669,11.8,55.3,0,0,0.5,88
358.4,7.1,66,671,12.6,54.9,0,0,0.5,88
384,7.1,66,669,13.4,54.9,0,0,0.8,88
371.2,7.1,66,668,12.9,55.3,0,0,0.5,88
371.2,7.1,66,669,12.8,54.9,0,0,0.5,88
371.2,7.1,66,669,12.6,54.9,0,0,0.6,88
371.2,7.1,66,669,12.6,54.9,0,0,0.5,88
371.2,7.1,66,668,11.9,54.9,0,0,0.5,88
371.2,7.1,66,671,11.8,54.9,0,0,1.1,88
384,7.1,66,669,12.4,54.9,0,0,1.2,88
371.2,7.1,66,669,13.1,54.9,0,0,1.2,88
384,7.1,66,671,12.5,54.9,0,0,0.9,88
371.2,7.1,66,668,11.5,55.3,0,0,1.2,88
371.2,7.1,65,672,11.5,54.5,0,0,1,88
371.2,7.1,66,670,12.6,54.9,0,0,1.1,88
371.2,7.1,65,671,12.1,54.5,0,0,0.9,88
371.2,7.1,66,670,12.5,54.9,0,0,1.2,88
384,7.1,66,670,12.4,54.9,0,0,1.1,88
371.2,7.1,66,670,11.6,54.9,0,0,0.9,88
371.2,7.1,66,670,12,54.9,0,0,2.7,88
371.2,7.1,65,672,12,54.5,0,0,2.6,88
371.2,7.1,66,679,13.8,54.5,256.3,262.5,9.9,88
486.4,8,65,900,11.9,53.7,833.3,839,6.3,88
409.6,6.6,48,1016,15.7,37.3,1019,1018.5,-1.1,88
422.4,6.6,48,1069,-4.9,38,1105.8,1109.5,1.8,88
409.6,7.5,44,1134,-5.3,33.3,1362.5,1365.5,5.5,88
384,6.1,34,1350,-15.3,24.7,1579.8,1581.5,8.8,88
320,6.6,34,1151,-14,24.3,1611,1611.5,3.7,88
332.8,6.1,37,1102,-15.7,26.7,1656.3,1657.3,-0.5,88
448,8,40,1320,7.9,29.8,1729.5,1731.5,-2.2,88
883.2,12.7,49,1967,52.6,38,1909.3,1910.8,-1.7,88
1574.4,20.7,84,1894,73.3,72.2,1615.3,1611.5,-1.9,88
1804.8,24.9,90,1917,74.7,80.8,1619.5,1622,0.9,88
1920,24.9,90,1948,73.1,80.4,1809.5,1810.8,0.9,88
1497.6,15.5,72,1978,16.6,59.2,1954.5,1955.5,1.9,88
691.2,9.4,49,1672,-2.9,34.1,1639,1634,1.2,88
371.2,5.7,33,1419,-16.7,22.7,1467,1467.3,0.5,88
435.2,8.5,36,1420,7.8,26.3,1414.8,1415,0.7,88
691.2,11.3,55,1491,40.5,41.2,1395,1395.5,0.1,88
1164.8,16,76,1685,58.4,62.7,1427.8,1428.8,2.6,88
1420.8,17.4,80,1792,61.8,69,1495.3,1496.8,1.6,88
1484.8,18.3,83,1726,68.5,73.3,1570.5,1571.5,1.2,88
1382.4,17.9,83,1654,62.5,72.9,1624.3,1625.3,4.1,88
1267.2,15.5,78,1667,38.3,67.1,1664,1665,2.6,88
640,7.1,44,1620,-27.9,32.2,1664.5,1664.5,-1.9,88
166.4,5.7,25,1460,-45.4,16.5,1580.3,1579.5,0.1,88
0,6.6,29,1453,-11.2,20,1458,1457.3,0,88
1024,15,62,1592,69.5,51.4,1399.3,1399.8,-3.4,88
1497.6,14.6,72,1818,1.6,60.8,1448.3,1449.3,-1.6,88
409.6,6.6,32,1392,-13.1,22.7,1436.5,1436.3,8.5,88
358.4,7.1,34,1224,-11.5,24.3,1324.8,1323.3,9.5,88
345.6,6.6,40,998,-7.7,30.6,1091.8,1092,16,88
396.8,7.5,46,990,5.3,36.5,1035.8,1033.5,9.6,88
435.2,7.5,54,928,12.4,43.9,834,833,-6.1,88
435.2,7.5,59,864,13,49,708.8,708.5,-4.1,88
422.4,7.1,60,840,11.6,50.2,689.3,690,-6.9,88
409.6,7.1,59,841,5.7,48.6,742.8,744,0.9,88
371.2,7.1,55,862,0.8,45.1,836.3,837.8,-0.6,88
371.2,6.6,49,915,-2.2,40,934.8,936.3,-3.5,88
358.4,7.1,47,958,13.1,37.3,1021.8,1023.3,-2.6,88
460.8,7.5,49,1168,2,38,1115,1116.3,-3.4,88
358.4,6.6,41,1110,-7.3,31,1208.3,1210,-1.4,88
345.6,7.1,41,1116,-6.6,30.6,1288.3,1289.5,4.5,88
371.2,7.1,41,1179,9.2,31,1358,1359.5,2.6,88
486.4,7.5,41,1455,4.5,30.2,1443,1444.5,0,88
448,7.5,40,1508,2.7,27.5,1533.3,1534.5,-0.5,88
486.4,7.5,40,1595,-10,26.7,1621.8,1623,0,88
422.4,7.1,34,1487,-14.3,24.7,1687.5,1688.3,-0.5,88
422.4,7.1,34,1475,-16,24.7,1724.5,1725.5,0,88
409.6,7.1,33,1496,-19.7,23.5,1769,1769.8,3.3,88
384,7.1,32,1472,-18.7,22.4,1801.3,1801.8,63.1,88
384,7.1,32,1472,-3.8,22.4,1773,1773,69.6,89
576,9.9,40,1727,30.9,29.8,1726.3,1726.5,61,89
1164.8,14.1,66,1910,47.2,52.2,1756.8,1758,53.8,89
883.2,9.4,48,1884,1.4,36.1,1830.3,1831.3,23.7,89
1203.2,16.5,65,2022,69.6,50.2,1884,1885.5,2.6,89
985.6,9.4,46,1981,-12.3,36.1,1925.8,1923.5,8.3,89
729.6,10.8,50,1598,22.2,37.6,1530.8,1529.8,7.7,89
806.4,11.8,54,1579,47.8,42.4,1546.8,1547.5,1.6,89
1254.4,18.3,83,1619,73.4,70.2,1615.3,1616.8,-1.5,89
1651.2,24.4,92,1727,75.7,83.1,1723.5,1725.5,-2.9,89
1369.6,15,68,1824,-16,60.4,1824.3,1825,1.2,89
422.4,7.1,25,1802,0.8,17.3,1823.8,1824.3,4.1,89
883.2,12.2,49,1832,36,39.6,1829.3,1830.3,-0.5,89
1036.8,12.7,59,1873,35,45.9,1872.3,1873.3,-1.6,89
908.8,9.9,51,1903,-17,38,1904.8,1905.3,0.5,89
345.6,6.1,23,1871,-41.8,14.9,1882.5,1882.5,2.7,89
422.4,8.5,31,1847,5.5,22.4,1846.5,1847,2.6,89
652.8,9.9,40,1842,18.5,30.2,1841.5,1842,2.7,89
793.6,11.3,50,1856,21.9,36.9,1855,1855.8,-0.7,89
678.4,8.5,40,1847,-21.8,29.4,1860.8,1861,1.1,89
358.4,7.1,24,1774,1,15.7,1828.3,1828.3,3,89
1113.6,14.1,59,1858,34.4,49,1836.8,1837.8,8,89
576,6.6,33,1823,-31.8,24.7,1850.5,1850.8,1.9,89
166.4,7.1,24,1765,-41.4,16.1,1774.8,1774.3,0,89
51.2,7.5,32,1692,-4.4,23.1,1699.3,1699.3,-1.8,89
537.6,8,35,1668,-10,24.7,1668,1668,0,89
448,7.1,31,1611,-14.9,21.2,1652,1652.8,2.3,89
320,5.7,24,1528,-41.1,15.7,1622,1621.8,0,89
192,8,33,1565,6.8,22.7,1566,1566.3,0,89
524.8,7.1,37,1518,-26.1,26.7,1554.3,1554.8,0.5,89
473.6,8.9,35,1527,31.8,24.3,1527.5,1528,0.8,89
1216,15,74,1575,63.3,60.8,1556.5,1557.5,1.6,89
729.6,7.1,48,1574,-27.8,36.1,1597.3,1597.8,-1.6,89
140.8,6.1,25,1538,-40.1,16.1,1550.8,1550.5,-1.9,89
0,6.6,33,1466,-40.6,23.1,1479.5,1479.3,0.8,89
0,6.1,29,1385,-41.5,20.8,1404.8,1404.8,0,89
12.8,5.7,26,1259,-21.7,18,1330,1329.8,1.2,89
307.2,6.6,35,977,-8.9,25.9,1278,1278.3,0.9,89
345.6,6.6,39,978,-8.3,29.4,1212,1211.3,0.9,89
358.4,6.1,40,939,-10.2,31,1174.3,1175.5,0.9,89
409.6,7.1,44,1020,1.6,34.1,1086.3,1083.8,3,89
460.8,7.5,51,922,13.5,41.2,796.5,794.3,0,89
460.8,7.5,59,855,12.2,48.6,537.3,537.8,1.6,89
435.2,7.1,59,808,13.1,49,505.8,502,1.6,89
396.8,6.6,60,763,12.7,49.4,67.8,66.8,1.4,89
332.8,6.6,59,681,11.2,48.6,0,0,1.5,89
345.6,6.6,60,678,7.9,49.8,0,0,1.3,89
332.8,6.6,61,672,9.9,50.6,0,0,1.2,89
345.6,6.6,62,668,11,50.6,0,0,1.6,89
332.8,7.1,62,667,12,51,0,0,1.3,89
332.8,6.6,62,667,11.1,51.8,0,0,1.4,89
345.6,6.6,62,670,11.8,51.8,0,0,1.5,89
332.8,6.6,62,664,12.9,51.8,0,0,1.5,89
345.6,7.1,63,663,13.3,52.5,0,0,1.5,89
332.8,7.1,63,666,13.4,52.2,0,0,1.3,89
332.8,7.1,63,667,10.6,52.5,0,0,1.5,89
345.6,7.1,64,664,13,52.9,0,0,1.6,89
358.4,7.1,63,669,13.7,52.9,0,0,1.4,89
345.6,7.1,64,662,13.6,53.7,0,0,1.2,89
345.6,7.1,65,665,13.6,53.7,0,0,1.6,89
345.6,7.1,65,664,13.2,54.1,0,0,1.2,89
345.6,7.1,65,665,15,54.1,0,0,1.2,89
358.4,7.1,65,666,14.4,54.1,0,0,1.6,89
358.4,7.1,65,666,14.7,54.5,0,0,1.6,89
345.6,7.1,65,670,13.8,54.1,0,0,1.3,89
358.4,7.1,65,671,13.5,54.1,0,0,1.3,89
345.6,7.1,65,668,14.7,53.7,0,0,1.6,89
345.6,7.1,66,664,13.7,54.9,0,0,1.3,89
345.6,7.1,65,667,15.1,54.1,0,0,1.2,89
345.6,7.1,65,672,15,53.7,0,0,1.6,89
358.4,7.1,66,668,13.6,54.9,0,0,1.6,89
345.6,7.1,65,672,14.3,53.7,0,0,1.5,89
358.4,7.1,66,665,13.7,55.3,0,0,1.6,89
358.4,7.1,65,675,13.4,54.1,0,0,1.4,89
345.6,7.1,65,666,16.2,54.5,0,0,1.6,89
358.4,7.1,66,669,14.5,54.9,0,0,1.5,89
358.4,7.1,65,673,13.8,54.1,0,0,1.6,89
345.6,7.1,65,668,13.8,54.5,0,0,1.6,89
358.4,7.1,65,670,14.1,54.5,0,0,1.5,89
358.4,7.1,66,665,13.1,54.9,0,0,1.5,89
345.6,7.1,65,672,12.5,54.5,0,0,1.5,89
358.4,7.1,66,667,14.9,54.5,0,0,1.6,89
371.2,7.1,66,669,14.2,55.3,0,0,1.6,89
358.4,7.1,66,669,13.8,54.9,0,0,1.6,89
358.4,7.1,65,672,13.2,54.5,0,0,1.2,89
358.4,7.1,65,679,13.2,54.5,182.8,185,1.3,89
345.6,7.1,65,666,14.7,54.5,239.3,239,1.2,89
358.4,7.1,66,666,14.2,54.9,118.3,117.5,1.6,89
358.4,7.1,65,671,13.9,54.5,27,27.3,1.5,89
345.6,7.1,65,670,12.5,54.5,0,0,1.4,89
358.4,7.1,65,673,12.9,54.1,0,0,1.5,89
345.6,7.1,65,673,12,54.1,0,0,1.4,89
358.4,7.1,65,670,13.6,54.5,0,0,1.5,89
358.4,7.1,65,672,12.2,54.9,0,0,1.5,89
345.6,7.1,65,671,13.6,53.7,0,0,1.3,89
371.2,7.1,67,663,13.8,55.3,0,0,1.2,89
371.2,7.1,65,674,13.3,54.9,0,0,1.6,89
358.4,7.1,65,670,13.4,54.5,0,0,1.3,89
358.4,7.1,66,670,11.8,54.5,0,0,1.9,89
371.2,7.1,65,674,10,54.9,0,0,5.5,89
371.2,7.1,64,712,13.1,52.9,205.5,208.3,7.3,89
588.8,9.9,70,970,41.1,59.2,479.3,483.8,8.8,89
704,9.9,66,1246,29.2,52.5,952.8,957.5,4.1,89
652.8,9.4,57,1373,23.2,43.1,1272.3,1275.3,-2.2,89
1036.8,14.1,68,1712,51.1,53.7,1567,1571.8,-6.5,89
1318.4,15.5,69,2002,50.5,54.5,1838,1835.5,-4.5,89
1305.6,15,74,1759,36.3,61.6,1548.5,1550.5,-6.6,89
691.2,8.9,44,1706,20.1,33.3,1686.3,1687.5,-11.8,89
960,12.7,58,1850,34.1,44.7,1747.8,1749,-16.3,89
972.8,10.8,55,1935,-13.9,40,1864.3,1864.8,-19.9,89
448,7.5,37,1388,-0.5,26.7,1412.8,1407.3,-34.6,89
448,7.5,45,1160,1.1,34.1,1151.3,1150.5,-35.4,89
448,7.5,50,1032,7.9,39.2,980.3,979,-28.2,89
448,7.5,54,956,5.3,44.3,891,891.3,-33.6,89
601.6,9.9,62,1113,41.4,51,905.5,906.5,-22.1,89
716.8,9.4,63,1256,13,51.8,972.3,973.3,-13.3,89
448,7.1,51,1018,2.7,40.4,978,978,-6.2,89
396.8,7.1,49,967,0.4,39.2,958.5,959,41.6,89
396.8,7.1,49,940,4.1,40,934.3,934.3,93.3,89
409.6,7.1,52,923,6,42.4,885,885,97,89
435.2,8,56,935,31.8,46.3,853.3,853.5,108.5,89
729.6,11.3,67,1230,48.4,56.5,880.8,882,120.9,89
1088,16,79,1488,64.8,67.1,981,983,123.6,89
1574.4,23,90,1729,73.5,80.4,1141.8,1144,101.7,89
1792,29.1,94,1791,80.9,86.7,1329.8,1332.3,28.4,89
1830.4,35.2,95,1698,64.1,87.8,1521,1523.3,-1.9,89
806.4,8.5,51,1636,-5.1,40.4,1614,1614.8,-7.7,89
499.2,7.5,38,1521,-10.1,27.5,1569,1568,-1.5,89
448,7.5,38,1344,-5.6,28.6,1382,1380.5,-7.7,89
435.2,7.1,42,1187,-4.2,31.8,1223.3,1222.8,-13.8,89
396.8,7.1,43,1109,-3.9,32.2,1158.8,1158.8,-12.5,89
512,9.4,49,1184,36,38.4,1133.5,1134,-7.7,89
1049.6,15.5,76,1524,65.1,63.5,1182,1183.5,-6.5,89
1574.4,23,90,1750,71.5,80,1328.8,1331,-2.3,89
1817.6,70,98,1709,83.5,91,1511,1513.5,-0.5,89
1971.2,99.1,99,1763,85.1,93.3,1708,1710.5,-1.1,89
2176,91.1,99,1933,88.1,92.9,1918.3,1921,-0.8,89
2406.4,67.2,99,2150,83.5,90.2,2141.5,2144.3,0.7,89
1868.8,20.7,70,2297,-3.2,60,2283.5,2282.3,0,89
614.4,9.4,37,1862,16.3,27.5,1821.5,1819,-0.9,89
742.4,10.4,46,1850,18.5,34.5,1784.5,1785,-5.9,89
1241.6,15,67,1969,18.5,52.9,1803.5,1804.3,-1.8,89
435.2,5.2,28,1603,-29.4,20,1810.5,1810.5,2.9,89
256,6.1,30,1103,-13.4,20.8,1720.5,1719.8,12.4,89
320,6.6,34,1140,-11.7,24.7,1536.5,1534.5,5.3,89
307.2,6.6,38,973,-6.1,29,1277.8,1276,5.9,89
320,6.6,44,891,-6,35.3,1140,1141,5.9,89
371.2,7.1,48,972,0.5,37.6,1101.8,1100.5,5.8,89
473.6,9.4,53,1083,45.2,42.4,1023.8,1024,-2.6,89
1267.2,19.3,83,1606,74.4,72.5,1089.8,1091.8,-1.7,89
1984,55.9,96,1885,87.5,89.4,1289.5,1292.3,3,89
1894.4,100,99,1726,86.3,93.3,1510.8,1513.3,6.9,89
1881.6,99.6,99,1760,87.6,93.3,1701.5,1704,2.9,89
2086.4,45.6,96,1914,81.7,89.4,1897.5,1900,-1.9,89
1228.8,12.2,62,2006,7.6,46.7,1998.3,1996.8,-1,89
640,10.4,45,1652,37,33.3,1597,1595,0.8,89
1241.6,17.9,79,1695,70.6,67.1,1587.8,1589,0.8,89
1446.4,20.7,89,1667,71.5,78,1665.3,1666.5,0.7,89
